,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
0,20251202-225457,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,27.664957329000117,100,0,1500,500,3.614681158216493,,18.073405791082465,72.29362316432986,19.0,5,63.0687285500062,63.10965900001975,0.5985759326511572,64.31612357991071,53.30778690499642,53.32962850002332,0.14729694800928864,53.56878839242768,53.30785700499973,53.260916500221356,0.30809374926912125,53.97082971965119,276.2998761699919,276.38751099993897,1.0281361214655482,278.5954827700334,0,256,4096,auto
1,20251202-225535,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,27.681855070999973,100,0,1500,500,3.6124746605136973,,18.06237330256849,72.24949321027395,19.0,5,63.205635969979994,63.218811999831814,0.5822557820125289,64.53505418997793,53.31567672500228,53.34205324999175,0.1354126897170394,53.57387865002579,53.31575593000821,53.24437800004489,0.30357544952916826,54.01987722978902,276.4683428699891,276.45350950001557,0.9233057579077256,278.3365815500747,1,256,4096,auto
2,20251202-225613,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,27.67193128300005,100,0,1500,500,3.613770176620593,,18.068850883102964,72.27540353241186,19.0,5,63.20805011000174,63.30394399992656,0.6107596051682878,64.1787012198529,53.28980694249594,53.32229325000526,0.15783860631273808,53.54420585002458,53.28988143999936,53.246154999897044,0.32832388624963355,54.08424113026285,276.3672778799855,276.54923600016446,1.0493402595852792,278.3534033999513,2,256,4096,auto
3,20251202-225641,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,16.482474877000186,100,0,1500,500,6.067050048384483,,30.335250241922413,121.34100096768965,32.0,9,109.45588356997632,109.6309659999406,4.794516016287431,112.35627629003835,54.85402041249813,54.71513575002973,0.4053235822978949,55.42817121502935,54.85409791999359,54.95656649986813,0.7879045665361848,56.21320503019888,328.87196521996884,329.3776949999483,4.438475589057806,330.8699419800724,0,256,4096,auto
4,20251202-225708,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,16.489941646999796,100,0,1500,500,6.0643028423447545,,30.32151421172377,121.28605684689508,32.0,8,109.52458916000523,109.7114704998603,4.765008420948899,112.04554391014885,54.873412017497,54.77950012493693,0.3990244996875195,55.43080935245712,54.87348365999537,54.98132150000856,0.7897600850613605,56.230178050022914,329.01823722999325,329.6076130000074,4.38360422163156,330.8309823101218,1,256,4096,auto
5,20251202-225735,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,16.490574905999893,100,0,1500,500,6.06406996542105,,30.32034982710525,121.281399308421,32.0,8,109.48567678998188,109.76955200021621,4.813758704852641,112.01596454013276,54.886127957504414,54.74880675001259,0.3938730051760941,55.42595084501727,54.8862001275063,55.00088550002147,0.7748239060693984,56.17513124986999,329.03018861999954,329.58827100014787,4.4554152206964455,330.5918903301108,2,256,4096,auto
6,20251202-225754,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,8.466976531,100,0,1500,500,11.810591376257117,,59.05295688128558,236.21182752514233,60.0,16,114.92948501998853,116.59272950009836,6.099497085482814,129.1509541101732,55.70650848500236,55.38665212492333,0.783372404257489,57.28610443750995,55.70658322750319,55.32762100006039,1.7216776532574203,62.579489960085084,337.75551895999797,338.324752500057,4.8116977128155725,349.65505674972064,0,256,4096,auto
7,20251202-225813,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,8.493781574999957,100,0,1500,500,11.773319000141642,,58.86659500070821,235.46638000283284,60.0,16,115.33661843002392,117.0414289999826,6.149237187485741,127.16883000017334,55.88091710499498,55.47590174995776,0.7662893201990896,57.43599279251498,55.88097732499364,55.47141100009867,1.7204820773447314,62.73458471999674,338.86028685000383,338.9336815000661,4.8755399553786445,348.2595270802676,1,256,4096,auto
8,20251202-225832,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,8.464735678000125,100,0,1500,500,11.81371797112346,,59.068589855617304,236.27435942246922,60.0,16,114.98482655002135,116.52335400003722,6.090986150801923,130.95728333030365,55.6824281724937,55.36924612499661,0.763035853992615,57.19610997000245,55.68249139749582,55.2548669998032,1.6787846461831764,62.31505779988311,337.71453923999616,337.73675300017203,4.866021524776219,352.2884800301472,2,256,4096,auto
9,20251202-225847,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,4.490089821000311,100,0,1500,500,22.27126939249554,,111.3563469624777,445.4253878499108,120.0,32,118.82301101001303,119.24335399999109,7.142812017851776,136.77767112977563,56.44636550000314,56.27661750003199,0.7722881889285524,58.59250085748158,56.4464158425028,56.196392499941794,1.653339263809882,65.36832907982443,344.6084730100256,344.4545100001051,6.190598440682414,362.0391193598244,0,256,4096,auto
10,20251202-225902,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,4.490157855999769,100,0,1500,500,22.27093193758869,,111.35465968794344,445.41863875177376,120.0,32,118.68377427001178,119.3347944999914,6.935147241626227,133.82906384976195,56.46995038750106,56.21613062498909,0.7755663973542433,58.722789369913926,56.470003545005056,56.143586499956655,1.6895244173722466,65.79567801026315,344.563575820016,344.3188445000942,5.689510978901771,358.81847362014014,1,256,4096,auto
11,20251202-225917,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,4.489256677999947,100,0,1500,500,22.275402627357003,,111.37701313678502,445.5080525471401,120.0,32,118.36986707000506,119.03218450015629,6.829105986433586,132.5726706498972,56.526288532500075,56.307979749988135,0.7737820241387349,58.767078059984215,56.52634125750069,56.30305249997036,1.6501745390037175,65.56945907998397,344.47502120000536,344.5785414999136,5.40970356519258,355.4511555599993,2,256,4096,auto
12,20251202-225930,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,2.587850469999921,100,0,1500,500,38.642109024175205,,193.21054512087602,772.8421804835041,208.0,64,137.8452208599856,138.4616404998269,12.762809422235945,160.49828921985863,58.49794510999686,58.194574750018546,1.6341211012623347,64.96178761243984,58.49799398498931,58.269283500067104,3.330330869193994,81.09438930997837,371.83700129997305,371.363777499937,11.572220236425485,393.6939165898684,0,256,4096,auto
13,20251202-225943,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,2.582285759000115,100,0,1500,500,38.72538105105801,,193.62690525529004,774.5076210211602,208.0,64,137.66805004997877,137.9810664998331,12.708051218459374,159.94436409986065,58.307124715003056,57.90669537503845,1.652801624358206,65.33164288248372,58.30717453250145,57.871339000030275,3.3938349694755674,79.80144674009803,370.896548909991,371.1136085000817,11.150522847533738,391.54018318012737,1,256,4096,auto
14,20251202-225956,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,16,2.5718705809999847,100,0,1500,500,38.882205325090034,,194.41102662545018,777.6441065018007,208.0,64,136.33127569999488,136.68741800029238,12.26454676632759,157.63195437994003,58.205420407493875,57.88826037502304,1.6034473412682562,64.88164229495851,58.205465495000226,58.01893450006901,3.2986532995836666,80.34527204988986,369.1529573299704,367.72788749999563,10.909012079421823,390.0610730901917,2,256,4096,auto
15,20251202-230009,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,32,1.8079419589998906,100,0,1500,500,55.311510141242344,,276.5575507062117,1106.2302028248469,291.0,67,217.70035283001107,205.23666899998716,41.87547308287728,272.81473316039865,66.21244314498767,66.10759987495385,4.34340917997768,87.04479671492436,66.21248428249146,64.75115200009895,8.304312007860894,72.52273870979934,482.55012540996177,471.7602359999091,42.598440188478214,537.735862069876,0,256,4096,auto
16,20251202-230021,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,32,1.8189793800002008,100,0,1500,500,54.97588433354806,,274.8794216677403,1099.5176866709612,302.0,78,206.9136182800139,231.18176699995274,56.19212947991198,276.237507390033,71.8076855299978,66.11071499997934,10.486527491969634,89.45312486247532,71.80773448499963,66.10455600025489,22.779473521741487,156.2893610800893,494.1443604000051,492.6652019998983,36.26018023805754,537.9205678500058,1,256,4096,auto
