,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
0,20251202-235235,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,123.76103356400017,100,0,10100,2300,0.8080087659278258,,18.584201616339993,100.19308697505039,19.0,2,63.22721950006781,63.31736450010794,0.6820980950391663,64.74000603020613,53.365185645906514,53.38008520456325,0.09974103210265534,53.5129207845458,53.365201880906994,53.39041949991952,0.24733104775955797,54.07419414954347,1237.261303710011,1237.8191200000401,2.489313664250749,1240.8896801198898,0,256,4096,auto
1,20251202-235450,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,123.85928064699965,100,0,10100,2300,0.8073678409694719,,18.56946034229785,100.11361228021451,19.0,2,63.380238320023636,63.41396800007715,0.6434417314156881,64.50641542000085,53.402898134091956,53.42407997727605,0.09767567170373764,53.566382073657394,53.402914895911884,53.42376449971198,0.24197321362490384,54.07022410005993,1238.2439972700467,1238.7411420004355,2.4691979534878006,1242.5158098104112,1,256,4096,auto
2,20251202-235706,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,123.87946779199956,100,0,10100,2300,0.8072362739554669,,18.56643430097574,100.0972979704779,19.0,2,63.2925890599563,63.397760500265576,0.677619405913766,64.47998606952751,53.416352707274044,53.440918704547414,0.11137480763411814,53.60620081908481,53.41636949863641,53.43809500027419,0.25054112508568005,54.13265610054623,1238.452348619985,1239.1018974999497,2.778317772893602,1242.8383803997167,2,256,4096,auto
3,20251202-235823,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,66.02825374399981,100,0,10100,2300,1.5145031759845278,,34.83357304764414,187.79839382208144,38.0,4,107.98987273998137,109.53638499995577,9.73802962081575,112.2976558302526,55.080390623638365,55.084887681831866,0.11138831935961656,55.29363562499632,55.08040407272885,55.11388100012482,0.40933885843350815,56.08152221920136,1319.7584664600254,1322.0262565000667,9.172886804837292,1326.4284987896644,0,256,4096,auto
4,20251202-235941,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,66.12752126499981,100,0,10100,2300,1.5122296751341913,,34.7812825280864,187.51647971663974,38.0,4,109.73452117995294,109.94500299966603,4.7050912771083215,112.38445289012822,55.09131044454576,55.10825847725508,0.11576887784504207,55.27182835999115,55.09132414045491,55.12941999995746,0.42473135727704825,56.15473569995629,1321.7433509599596,1322.6820789996054,5.4547588591836105,1326.5379365401259,1,256,4096,auto
5,20251203-000058,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,66.07181476400001,100,0,10100,2300,1.5135046669625631,,34.81060734013895,187.67457870335784,38.0,4,108.80119834997458,109.57726300011927,7.848265686379575,111.99711822990143,55.08283003136511,55.10267572727075,0.11109031192285775,55.26203057136875,55.082847453636944,55.1220154998191,0.403978527623168,56.04348850993119,1320.6234590400072,1321.9454464997398,7.976246819981386,1325.1675203598097,2,256,4096,auto
6,20251203-000143,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,33.243034866000016,100,0,10100,2300,3.0081489371560663,,69.18742555458952,373.01046820735223,74.0,8,110.78213087998847,110.98552699968423,4.874608797524265,121.95647636985086,55.36548726000008,55.387493045455734,0.10682239725188562,55.54433211453919,55.36550175181798,55.371542000102636,0.3012823859054624,56.41701904033653,1328.8228505999905,1329.475101499611,5.363076122570399,1340.5874256992047,0,256,4096,auto
7,20251203-000228,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,33.27144910199968,100,0,10100,2300,3.0055799401292025,,69.12833862297165,372.6919125760211,72.0,8,110.7902613999795,111.1944450003648,6.230903975934073,125.81375076008955,55.391399770001044,55.408054227283095,0.10490207023822541,55.54579426953503,55.391412075002584,55.37563650023003,0.3459975066484405,56.61263648016756,1329.4010563400025,1330.0073209998118,6.307622611340142,1346.5634960408715,1,256,4096,auto
8,20251203-000313,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,33.246995608999896,100,0,10100,2300,3.00779057380241,,69.17918319745543,372.96603115149884,74.0,8,110.63510946997667,111.01074199996219,6.125894492134778,125.77097018001041,55.35456568818393,55.39326511364544,0.14205639210851684,55.567694539564734,55.35457783045661,55.36203699966791,0.35537075699740667,56.48362204021395,1328.4355546100232,1329.3900935000238,6.441010278230068,1346.1352835596972,2,256,4096,auto
9,20251203-000342,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,17.524123055000018,100,0,10100,2300,5.706419641436368,,131.24765175303648,707.5960355381097,144.0,16,116.37004791008621,116.51506299995162,6.718551939096043,133.33882859012192,55.9623779354549,55.94836697727343,0.14566951189498709,56.302701196821296,55.96238701045588,55.91276450013538,0.5931929196383983,57.225617849417176,1347.542362490094,1347.4059404998115,7.122541563624032,1365.2893839107855,0,256,4096,auto
