,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
0,20251202-231331,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,320.5690636199997,100,0,4600,6000,0.3119452603153849,,18.716715618923093,33.0661975934308,19.0,2,63.13538081999014,63.19954199989297,0.6347695270764302,64.35968980997586,53.25773806728879,53.27316562711839,0.08218698204456304,53.384706559657275,53.257743941186256,53.29372749997674,0.24477881157559325,53.910990609824694,3205.341926790029,3206.5356150001207,4.920353155692045,3212.9650010900286,0,256,4096,auto
1,20251202-231905,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,320.7382717759997,100,0,4600,6000,0.3117806909860728,,18.70684145916437,33.048753244523716,19.0,2,63.15782607999608,63.24033700002474,0.6698281794493046,64.63120477016673,53.28598937152499,53.28907981355137,0.08010294553481467,53.54897531186429,53.2859942825425,53.309241000079055,0.24475091836357601,53.96492916961961,3207.031198999971,3207.3679829998127,4.932461427111484,3222.9028230402264,1,256,4096,auto
2,20251202-232439,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,320.99642183500055,100,0,4600,6000,0.3115299523538062,,18.691797141228374,33.02217494950346,19.0,2,63.31002804997298,63.38746449955579,0.602724356514756,64.5889926200107,53.32712800847484,53.329626110167986,0.062019632908592276,53.46947135491387,53.327134061524795,53.34330799996678,0.2186982497697588,53.98801705016922,3209.6105805499883,3209.719358500024,3.754211315109539,3218.3868333095143,2,256,4096,auto
3,20251202-232741,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,167.95835010100018,100,0,4600,6000,0.5953857009185071,,35.72314205511043,63.11088429736175,38.0,4,109.17655616003685,109.42094650044965,7.03497663863249,112.42887114030968,55.070674668135084,55.06592852541378,0.060962501830199294,55.214856304065826,55.070679711694936,55.09907249961543,0.3221835606793873,56.05317644954994,3358.3463615800065,3359.721570000147,7.390339174412062,3367.0059877403946,0,256,4096,auto
4,20251202-233043,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,168.01787876800063,100,0,4600,6000,0.5951747560036761,,35.71048536022057,63.088524136389665,38.0,4,109.90167532998385,110.12402750020556,4.697375902093943,112.46296739969699,55.07857936372942,55.09500722882105,0.07432761541495428,55.207575050005865,55.07858502118787,55.10789299978569,0.3247624785043534,56.02545514032499,3359.537857790019,3360.2810149996003,5.612503818150799,3365.9734630300686,1,256,4096,auto
5,20251202-233344,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,167.91917342299985,100,0,4600,6000,0.5955246084263003,,35.73147650557802,63.12560849318783,38.0,4,109.87783613995816,110.06625350046306,4.829928279194705,112.54156810056888,55.045485195932386,55.05607048305245,0.07647742221864978,55.17049889813371,55.04549089457584,55.07931250031106,0.32653442119885484,56.00988415058055,3357.5614626999686,3358.541231500567,6.233075150461296,3364.2860305496106,2,256,4096,auto
6,20251202-233523,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,84.62650548399961,100,0,4600,6000,1.1816628777009712,,70.89977266205827,125.25626503630295,76.0,8,115.73155346995918,117.29771699992853,6.047185709930673,131.27626464971402,55.39711696339063,55.395570279654486,0.07817729004307246,55.56200283966295,55.39712136118689,55.386813000041,0.5407870375777608,56.343544340534216,3384.161454310006,3384.961163999833,6.073367425334795,3399.727592440213,0,256,4096,auto
7,20251202-233701,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,84.6992130210001,100,0,4600,6000,1.1806485141155474,,70.83891084693285,125.14874249624802,76.0,8,118.1991968499733,118.71077400019203,7.384459662887278,135.77313501948993,55.39550176000097,55.39734568644189,0.07578368724789268,55.52777406000425,55.39550601644158,55.356491999646096,0.645490081699699,56.7639208699984,3386.533800690031,3387.0577405000404,6.626038623567087,3402.67578019977,1,256,4096,auto
8,20251202-233839,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,84.65210068599936,100,0,4600,6000,1.1813055930050775,,70.87833558030465,125.21839285853821,76.0,8,115.45336126004258,117.15911600003892,6.0641516815410865,127.52982370066093,55.41856026847431,55.40394513559091,0.10274993998707622,55.64408086882025,55.41856435983113,55.399059500359726,0.5354739752865666,56.50344932018925,3385.1484171000266,3384.715327500089,7.25327143988861,3397.53570006038,2,256,4096,auto
9,20251202-233937,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,44.53755553599967,100,0,4600,6000,2.245296105646617,,134.71776633879702,238.0013871985414,144.0,16,119.14337509995676,119.65682550044221,6.969580561079943,135.0806616093087,56.05677223593144,56.07947981355718,0.15093797780470936,56.250425150678815,56.05677779525387,56.024706000243896,0.582287718000119,57.3203522600852,3426.4929370199116,3428.7270374998116,10.674322825932704,3439.1281042701303,0,256,4096,auto
