,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,max_num_seqs,max_model_len,dtype
0,20251203-022322,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,1366.8221351459997,100,0,13500,25600,0.07316240894014955,,18.729576688678286,28.606501895598477,19.0,2,62.57350448991929,62.523586499992234,0.3602155962891619,63.52802955059815,53.35416435764736,53.335044703920836,0.1071872729256381,53.645576553882684,53.35416554286299,53.34280449915241,0.2305842883619954,54.001089129233144,13667.885415689998,13662.871180000366,27.53761562782018,13742.799563279841,0,256,4096,auto
1,20251203-024629,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,1364.0841840869998,100,0,13500,25600,0.07330925845088612,,18.767170163426847,28.663920054296476,19.0,2,62.31086032992607,62.26450199937972,0.2547036575604659,63.19356696023533,53.247836867137345,53.24095624705746,0.030785907849024522,53.40265593619423,53.24783799129413,53.257921500517114,0.1900112336269905,53.79508948994043,13640.509261449952,13638.896766500693,7.895190602600856,13679.953721309703,1,256,4096,auto
2,20251203-030942,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,1,1368.697614124998,100,0,13500,25600,0.07306215702284945,,18.70391219784946,28.567303395934132,19.0,2,62.70475935001742,62.46333299895923,0.6814771650651439,64.49906230318447,53.42719445843163,53.315237639210814,0.20250435577093695,53.818523164361906,53.4271957077645,53.380752500743256,0.29580636804422555,54.1263793496546,13686.639346250086,13657.714477998525,52.116303344924376,13786.288502041898,2,256,4096,auto
3,20251203-032200,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,713.5674463440009,100,0,13500,25600,0.14014092222445837,,35.87607608946134,54.79510058976322,38.0,4,109.79023075029545,110.01301900068938,4.670640353932062,112.13369906075974,55.53229601309845,55.60820036666615,0.16672435931061722,55.70238950525085,55.532297136235236,55.51309099973878,0.4276912632737577,56.396657369841705,14270.5257140904,14290.969493000375,42.90569216130326,14315.038346891015,0,256,4096,auto
4,20251203-033418,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,714.2746133030014,100,0,13500,25600,0.14000217582642707,,35.84055701156533,54.740850748132985,38.0,4,106.44274040012533,109.67421799978183,12.877302257079329,112.14663742815905,55.600890655097075,55.60296013136394,0.025643649755801627,55.67758862937497,55.60089198313639,55.59659550090146,0.4029420105355358,56.42348607718304,14284.66985744988,14288.046978499551,12.379691569267745,14299.236238351441,1,256,4096,auto
5,20251203-034637,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,2,714.3000013839992,100,0,13500,25600,0.1399971997847459,,35.83928314489495,54.73890511583564,38.0,4,109.88410553993162,110.13848850052455,4.6376230835381556,112.34812806036649,55.58938798239193,55.590207119601864,0.030529154785336056,55.678208180936764,55.58938907980365,55.5820159988798,0.3978016263326953,56.415898071172705,14285.178041049876,14284.971848999703,8.8967623532897,14309.764575399131,2,256,4096,auto
6,20251203-035303,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,362.27866709599766,100,0,13500,25600,0.2760306059465039,,70.663835122305,107.92796692508303,72.0,8,115.14514061982482,116.18447799810383,5.6256028321473215,127.89119740060414,56.37274558600006,56.37258886470626,0.028805839599893624,56.43308654792254,56.372746507921676,56.372905000898754,0.657639489368568,57.67862723871075,14490.195265049842,14490.190899499794,8.678636110009373,14513.870510831148,0,256,4096,auto
7,20251203-035929,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,362.1180892449993,100,0,13500,25600,0.27615300911505336,,70.69517033345366,107.97582656398588,76.0,8,115.01016229995003,116.1578709998139,5.602131507526995,127.00691410831497,56.34824331188186,56.349723199994465,0.027857796641337616,56.39814712764742,56.348244348352445,56.3586235002731,0.6652594151186713,57.6699574576196,14483.812206829825,14483.980705001159,8.322108292578074,14504.407140167277,1,256,4096,auto
8,20251203-040556,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,4,362.34508916399864,100,0,13500,25600,0.2759800063268959,,70.65088161968535,107.9081824738163,72.0,8,115.10796331003803,116.23022200001287,5.64147608891769,126.29999521144784,56.38345500564688,56.38615355098463,0.03312162556017553,56.46156611000076,56.38345599156938,56.39150999923004,0.6580801570205965,57.68488296191208,14492.88898974999,14493.322039999839,9.549609369024632,14510.782970779183,2,256,4096,auto
9,20251203-040933,vllm,vllm,,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,100,inf,1.0,8,193.00190594000014,100,0,13500,25600,0.5181295983216233,,132.64117717033557,202.58867294375472,144.0,16,117.84059593988786,117.50283849869447,6.424291553220093,134.59088385952782,57.81031176984363,57.86998966862431,0.29417798241554055,57.901188224340636,57.81031268596031,57.7600029992027,1.1793679435091602,60.23076657882484,14859.470097250014,14873.223728498488,76.02103715097992,14898.610422289385,0,256,4096,auto
